"Plot Title: CT_345_052421"
"#","Date Time, GMT-10:00","High Range, μS/cm (LGR S/N: 20739345, SEN S/N: 20739345)","Temp, °C (LGR S/N: 20739345, SEN S/N: 20739345)","Specific Conductance, μS/cm (LGR S/N: 20739345)","Salinity, ppt (LGR S/N: 20739345)"
1,05/23/21 10:40:30 PM,0.0,21.77,0.0,0.0123
2,05/23/21 10:41:00 PM,0.0,21.81,0.0,0.0123
3,05/23/21 10:41:30 PM,0.0,21.93,0.0,0.0123
4,05/23/21 10:42:00 PM,0.0,22.05,0.0,0.0123
5,05/23/21 10:42:30 PM,0.0,22.11,0.0,0.0123
6,05/23/21 10:43:00 PM,0.0,22.17,0.0,0.0123
7,05/23/21 10:43:30 PM,0.0,22.22,0.0,0.0123
8,05/23/21 10:44:00 PM,0.0,22.27,0.0,0.0123
9,05/23/21 10:44:30 PM,0.0,22.29,0.0,0.0123
10,05/23/21 10:45:00 PM,0.0,22.29,0.0,0.0123
11,05/23/21 10:45:30 PM,0.0,22.29,0.0,0.0123
12,05/23/21 10:46:00 PM,0.0,22.40,0.0,0.0123
13,05/23/21 10:46:30 PM,0.0,22.41,0.0,0.0123
14,05/23/21 10:47:00 PM,0.0,22.48,0.0,0.0123
15,05/23/21 10:47:30 PM,0.0,22.53,0.0,0.0123
16,05/23/21 10:48:00 PM,0.0,22.55,0.0,0.0123
17,05/23/21 10:48:30 PM,0.0,22.59,0.0,0.0123
18,05/23/21 10:49:00 PM,0.0,22.61,0.0,0.0123
19,05/23/21 10:49:30 PM,0.0,22.63,0.0,0.0123
20,05/23/21 10:50:00 PM,0.0,22.65,0.0,0.0123
21,05/23/21 10:50:30 PM,0.0,22.66,0.0,0.0123
22,05/23/21 10:51:00 PM,0.0,22.69,0.0,0.0123
23,05/23/21 10:51:30 PM,0.0,22.69,0.0,0.0123
24,05/23/21 10:52:00 PM,0.0,22.70,0.0,0.0123
25,05/23/21 10:52:30 PM,0.0,22.71,0.0,0.0123
26,05/23/21 10:53:00 PM,0.0,22.71,0.0,0.0123
27,05/23/21 10:53:30 PM,0.0,22.72,0.0,0.0123
28,05/23/21 10:54:00 PM,0.0,22.72,0.0,0.0123
29,05/23/21 10:54:30 PM,0.0,22.71,0.0,0.0123
30,05/23/21 10:55:00 PM,0.0,22.72,0.0,0.0123
31,05/23/21 10:55:30 PM,0.0,22.72,0.0,0.0123
32,05/23/21 10:56:00 PM,0.0,22.73,0.0,0.0123
33,05/23/21 10:56:30 PM,0.0,22.73,0.0,0.0123
34,05/23/21 10:57:00 PM,0.0,22.73,0.0,0.0123
35,05/23/21 10:57:30 PM,0.0,22.72,0.0,0.0123
36,05/23/21 10:58:00 PM,0.0,22.71,0.0,0.0123
37,05/23/21 10:58:30 PM,0.0,22.71,0.0,0.0123
38,05/23/21 10:59:00 PM,0.0,22.71,0.0,0.0123
39,05/23/21 10:59:30 PM,0.0,22.71,0.0,0.0123
40,05/23/21 11:00:00 PM,0.0,22.72,0.0,0.0123
41,05/23/21 11:00:30 PM,0.0,22.72,0.0,0.0123
42,05/23/21 11:01:00 PM,0.0,22.72,0.0,0.0123
43,05/23/21 11:01:30 PM,0.0,22.72,0.0,0.0123
44,05/23/21 11:02:00 PM,0.0,22.72,0.0,0.0123
45,05/23/21 11:02:30 PM,0.0,22.72,0.0,0.0123
46,05/23/21 11:03:00 PM,0.0,22.72,0.0,0.0123
47,05/23/21 11:03:30 PM,0.0,22.71,0.0,0.0123
48,05/23/21 11:04:00 PM,0.0,22.71,0.0,0.0123
49,05/23/21 11:04:30 PM,0.0,22.71,0.0,0.0123
50,05/23/21 11:05:00 PM,0.0,22.70,0.0,0.0123
51,05/23/21 11:05:30 PM,0.0,22.70,0.0,0.0123
52,05/23/21 11:06:00 PM,0.0,22.70,0.0,0.0123
53,05/23/21 11:06:30 PM,0.0,22.70,0.0,0.0123
54,05/23/21 11:07:00 PM,0.0,22.70,0.0,0.0123
55,05/23/21 11:07:30 PM,0.0,22.70,0.0,0.0123
56,05/23/21 11:08:00 PM,0.0,22.70,0.0,0.0123
57,05/23/21 11:08:30 PM,0.0,22.70,0.0,0.0123
58,05/23/21 11:09:00 PM,0.0,22.70,0.0,0.0123
59,05/23/21 11:09:30 PM,0.0,22.69,0.0,0.0123
60,05/23/21 11:10:00 PM,0.0,22.67,0.0,0.0123
61,05/23/21 11:10:30 PM,0.0,22.66,0.0,0.0123
62,05/23/21 11:11:00 PM,0.0,22.66,0.0,0.0123
63,05/23/21 11:11:30 PM,0.0,22.65,0.0,0.0123
64,05/23/21 11:12:00 PM,0.0,22.65,0.0,0.0123
65,05/23/21 11:12:30 PM,0.0,22.65,0.0,0.0123
66,05/23/21 11:13:00 PM,0.0,22.64,0.0,0.0123
67,05/23/21 11:13:30 PM,0.0,22.64,0.0,0.0123
68,05/23/21 11:14:00 PM,0.0,22.63,0.0,0.0123
69,05/23/21 11:14:30 PM,0.0,22.63,0.0,0.0123
70,05/23/21 11:15:00 PM,0.0,22.61,0.0,0.0123
71,05/23/21 11:15:30 PM,0.0,22.59,0.0,0.0123
72,05/23/21 11:16:00 PM,0.0,22.59,0.0,0.0123
73,05/23/21 11:16:30 PM,0.0,22.58,0.0,0.0123
74,05/23/21 11:17:00 PM,0.0,22.58,0.0,0.0123
75,05/23/21 11:17:30 PM,0.0,22.57,0.0,0.0123
76,05/23/21 11:18:00 PM,0.0,22.55,0.0,0.0123
77,05/23/21 11:18:30 PM,0.0,22.55,0.0,0.0123
78,05/23/21 11:19:00 PM,0.0,22.54,0.0,0.0123
79,05/23/21 11:19:30 PM,0.0,22.55,0.0,0.0123
80,05/23/21 11:20:00 PM,0.0,22.55,0.0,0.0123
81,05/23/21 11:20:30 PM,0.0,22.55,0.0,0.0123
82,05/23/21 11:21:00 PM,0.0,22.57,0.0,0.0123
83,05/23/21 11:21:30 PM,0.0,22.57,0.0,0.0123
84,05/23/21 11:22:00 PM,0.0,22.57,0.0,0.0123
85,05/23/21 11:22:30 PM,0.0,22.57,0.0,0.0123
86,05/23/21 11:23:00 PM,0.0,22.57,0.0,0.0123
87,05/23/21 11:23:30 PM,0.0,22.57,0.0,0.0123
88,05/23/21 11:24:00 PM,0.0,22.57,0.0,0.0123
89,05/23/21 11:24:30 PM,0.0,22.57,0.0,0.0123
90,05/23/21 11:25:00 PM,0.0,22.57,0.0,0.0123
91,05/23/21 11:25:30 PM,0.0,22.55,0.0,0.0123
92,05/23/21 11:26:00 PM,0.0,22.55,0.0,0.0123
93,05/23/21 11:26:30 PM,0.0,22.55,0.0,0.0123
94,05/23/21 11:27:00 PM,0.0,22.55,0.0,0.0123
95,05/23/21 11:27:30 PM,0.0,22.54,0.0,0.0123
96,05/23/21 11:28:00 PM,0.0,22.54,0.0,0.0123
97,05/23/21 11:28:30 PM,0.0,22.54,0.0,0.0123
98,05/23/21 11:29:00 PM,0.0,22.54,0.0,0.0123
99,05/23/21 11:29:30 PM,0.0,22.54,0.0,0.0123
100,05/23/21 11:30:00 PM,0.0,22.53,0.0,0.0123
101,05/23/21 11:30:30 PM,0.0,22.53,0.0,0.0123
102,05/23/21 11:31:00 PM,0.0,22.53,0.0,0.0123
103,05/23/21 11:31:30 PM,0.0,22.53,0.0,0.0123
104,05/23/21 11:32:00 PM,0.0,22.52,0.0,0.0123
105,05/23/21 11:32:30 PM,0.0,22.52,0.0,0.0123
106,05/23/21 11:33:00 PM,0.0,22.52,0.0,0.0123
107,05/23/21 11:33:30 PM,0.0,22.52,0.0,0.0123
108,05/23/21 11:34:00 PM,0.0,22.52,0.0,0.0123
109,05/23/21 11:34:30 PM,0.0,22.52,0.0,0.0123
110,05/23/21 11:35:00 PM,0.0,22.51,0.0,0.0123
111,05/23/21 11:35:30 PM,0.0,22.51,0.0,0.0123
112,05/23/21 11:36:00 PM,0.0,22.51,0.0,0.0123
113,05/23/21 11:36:30 PM,0.0,22.49,0.0,0.0123
114,05/23/21 11:37:00 PM,0.0,22.49,0.0,0.0123
115,05/23/21 11:37:30 PM,0.0,22.49,0.0,0.0123
116,05/23/21 11:38:00 PM,0.0,22.49,0.0,0.0123
117,05/23/21 11:38:30 PM,0.0,22.48,0.0,0.0123
118,05/23/21 11:39:00 PM,0.0,22.48,0.0,0.0123
119,05/23/21 11:39:30 PM,0.0,22.48,0.0,0.0123
120,05/23/21 11:40:00 PM,0.0,22.48,0.0,0.0123
121,05/23/21 11:40:30 PM,0.0,22.47,0.0,0.0123
122,05/23/21 11:41:00 PM,0.0,22.47,0.0,0.0123
123,05/23/21 11:41:30 PM,0.0,22.47,0.0,0.0123
124,05/23/21 11:42:00 PM,0.0,22.47,0.0,0.0123
125,05/23/21 11:42:30 PM,0.0,22.46,0.0,0.0123
126,05/23/21 11:43:00 PM,0.0,22.46,0.0,0.0123
127,05/23/21 11:43:30 PM,0.0,22.46,0.0,0.0123
128,05/23/21 11:44:00 PM,0.0,22.45,0.0,0.0123
129,05/23/21 11:44:30 PM,0.0,22.45,0.0,0.0123
130,05/23/21 11:45:00 PM,0.0,22.45,0.0,0.0123
131,05/23/21 11:45:30 PM,0.0,22.45,0.0,0.0123
132,05/23/21 11:46:00 PM,0.0,22.43,0.0,0.0123
133,05/23/21 11:46:30 PM,0.0,22.43,0.0,0.0123
134,05/23/21 11:47:00 PM,0.0,22.43,0.0,0.0123
135,05/23/21 11:47:30 PM,0.0,22.42,0.0,0.0123
136,05/23/21 11:48:00 PM,0.0,22.42,0.0,0.0123
137,05/23/21 11:48:30 PM,0.0,22.42,0.0,0.0123
138,05/23/21 11:49:00 PM,0.0,22.41,0.0,0.0123
139,05/23/21 11:49:30 PM,0.0,22.41,0.0,0.0123
140,05/23/21 11:50:00 PM,0.0,22.41,0.0,0.0123
141,05/23/21 11:50:30 PM,0.0,22.41,0.0,0.0123
142,05/23/21 11:51:00 PM,0.0,22.40,0.0,0.0123
143,05/23/21 11:51:30 PM,0.0,22.40,0.0,0.0123
144,05/23/21 11:52:00 PM,0.0,22.39,0.0,0.0123
145,05/23/21 11:52:30 PM,0.0,22.39,0.0,0.0123
146,05/23/21 11:53:00 PM,0.0,22.39,0.0,0.0123
147,05/23/21 11:53:30 PM,0.0,22.39,0.0,0.0123
148,05/23/21 11:54:00 PM,0.0,22.37,0.0,0.0123
149,05/23/21 11:54:30 PM,0.0,22.37,0.0,0.0123
150,05/23/21 11:55:00 PM,0.0,22.37,0.0,0.0123
151,05/23/21 11:55:30 PM,0.0,22.36,0.0,0.0123
152,05/23/21 11:56:00 PM,0.0,22.36,0.0,0.0123
153,05/23/21 11:56:30 PM,0.0,22.36,0.0,0.0123
154,05/23/21 11:57:00 PM,0.0,22.36,0.0,0.0123
155,05/23/21 11:57:30 PM,0.0,22.35,0.0,0.0123
156,05/23/21 11:58:00 PM,0.0,22.35,0.0,0.0123
157,05/23/21 11:58:30 PM,0.0,22.34,0.0,0.0123
158,05/23/21 11:59:00 PM,0.0,22.34,0.0,0.0123
159,05/23/21 11:59:30 PM,0.0,22.34,0.0,0.0123
160,05/24/21 12:00:00 AM,0.0,22.33,0.0,0.0123
161,05/24/21 12:00:30 AM,0.0,22.33,0.0,0.0123
162,05/24/21 12:01:00 AM,0.0,22.33,0.0,0.0123
163,05/24/21 12:01:30 AM,0.0,22.31,0.0,0.0123
164,05/24/21 12:02:00 AM,0.0,22.33,0.0,0.0123
165,05/24/21 12:02:30 AM,0.0,22.31,0.0,0.0123
166,05/24/21 12:03:00 AM,0.0,22.31,0.0,0.0123
167,05/24/21 12:03:30 AM,0.0,22.31,0.0,0.0123
168,05/24/21 12:04:00 AM,0.0,22.30,0.0,0.0123
169,05/24/21 12:04:30 AM,0.0,22.30,0.0,0.0123
170,05/24/21 12:05:00 AM,0.0,22.30,0.0,0.0123
171,05/24/21 12:05:30 AM,0.0,22.30,0.0,0.0123
172,05/24/21 12:06:00 AM,0.0,22.29,0.0,0.0123
173,05/24/21 12:06:30 AM,0.0,22.29,0.0,0.0123
174,05/24/21 12:07:00 AM,0.0,22.29,0.0,0.0123
175,05/24/21 12:07:30 AM,0.0,22.28,0.0,0.0123
176,05/24/21 12:08:00 AM,0.0,22.28,0.0,0.0123
177,05/24/21 12:08:30 AM,0.0,22.28,0.0,0.0123
178,05/24/21 12:09:00 AM,0.0,22.28,0.0,0.0123
179,05/24/21 12:09:30 AM,0.0,22.27,0.0,0.0123
180,05/24/21 12:10:00 AM,0.0,22.27,0.0,0.0123
181,05/24/21 12:10:30 AM,0.0,22.27,0.0,0.0123
182,05/24/21 12:11:00 AM,0.0,22.25,0.0,0.0123
183,05/24/21 12:11:30 AM,0.0,22.25,0.0,0.0123
184,05/24/21 12:12:00 AM,0.0,22.25,0.0,0.0123
185,05/24/21 12:12:30 AM,0.0,22.24,0.0,0.0123
186,05/24/21 12:13:00 AM,0.0,22.24,0.0,0.0123
187,05/24/21 12:13:30 AM,0.0,22.24,0.0,0.0123
188,05/24/21 12:14:00 AM,0.0,22.23,0.0,0.0123
189,05/24/21 12:14:30 AM,0.0,22.23,0.0,0.0123
190,05/24/21 12:15:00 AM,0.0,22.23,0.0,0.0123
191,05/24/21 12:15:30 AM,0.0,22.23,0.0,0.0123
192,05/24/21 12:16:00 AM,0.0,22.22,0.0,0.0123
193,05/24/21 12:16:30 AM,0.0,22.22,0.0,0.0123
194,05/24/21 12:17:00 AM,0.0,22.21,0.0,0.0123
195,05/24/21 12:17:30 AM,0.0,22.21,0.0,0.0123
196,05/24/21 12:18:00 AM,0.0,22.21,0.0,0.0123
197,05/24/21 12:18:30 AM,0.0,22.21,0.0,0.0123
198,05/24/21 12:19:00 AM,0.0,22.19,0.0,0.0123
199,05/24/21 12:19:30 AM,0.0,22.19,0.0,0.0123
200,05/24/21 12:20:00 AM,0.0,22.19,0.0,0.0123
201,05/24/21 12:20:30 AM,0.0,22.18,0.0,0.0123
202,05/24/21 12:21:00 AM,0.0,22.18,0.0,0.0123
203,05/24/21 12:21:30 AM,0.0,22.18,0.0,0.0123
204,05/24/21 12:22:00 AM,0.0,22.18,0.0,0.0123
205,05/24/21 12:22:30 AM,0.0,22.17,0.0,0.0123
206,05/24/21 12:23:00 AM,0.0,22.17,0.0,0.0123
207,05/24/21 12:23:30 AM,0.0,22.17,0.0,0.0123
208,05/24/21 12:24:00 AM,0.0,22.16,0.0,0.0123
209,05/24/21 12:24:30 AM,0.0,22.16,0.0,0.0123
210,05/24/21 12:25:00 AM,0.0,22.16,0.0,0.0123
211,05/24/21 12:25:30 AM,0.0,22.15,0.0,0.0123
212,05/24/21 12:26:00 AM,0.0,22.15,0.0,0.0123
213,05/24/21 12:26:30 AM,0.0,22.15,0.0,0.0123
214,05/24/21 12:27:00 AM,0.0,22.15,0.0,0.0123
215,05/24/21 12:27:30 AM,0.0,22.13,0.0,0.0123
216,05/24/21 12:28:00 AM,0.0,22.13,0.0,0.0123
217,05/24/21 12:28:30 AM,0.0,22.13,0.0,0.0123
218,05/24/21 12:29:00 AM,0.0,22.12,0.0,0.0123
219,05/24/21 12:29:30 AM,0.0,22.12,0.0,0.0123
220,05/24/21 12:30:00 AM,0.0,22.12,0.0,0.0123
221,05/24/21 12:30:30 AM,0.0,22.12,0.0,0.0123
222,05/24/21 12:31:00 AM,0.0,22.11,0.0,0.0123
223,05/24/21 12:31:30 AM,0.0,22.11,0.0,0.0123
224,05/24/21 12:32:00 AM,0.0,22.10,0.0,0.0123
225,05/24/21 12:32:30 AM,0.0,22.10,0.0,0.0123
