date,TempInSitu,mV,pH,pH_Serial
2023-05-29T16:00:00Z,28.99,-88.83,8.25,pH_195
2023-05-29T16:02:00Z,28.99,-87.94,8.24,pH_195
2023-05-29T16:04:00Z,29.02,-87.63,8.23,pH_195
2023-05-29T16:06:00Z,29.02,-89.27,8.26,pH_195
2023-05-29T16:08:00Z,29.02,-88.78,8.25,pH_195
2023-05-29T16:10:00Z,29.02,-86.86,8.22,pH_195
2023-05-29T16:12:00Z,29.04,-88.35,8.25,pH_195
2023-05-29T16:14:00Z,29.02,-87.64,8.23,pH_195
2023-05-29T16:16:00Z,29.07,-88.78,8.25,pH_195
2023-05-29T16:18:00Z,29.07,-88.22,8.24,pH_195
2023-05-29T16:20:00Z,29.09,-89.25,8.26,pH_195
2023-05-29T16:22:00Z,29.07,-88.11,8.24,pH_195
2023-05-29T16:24:00Z,29.04,-87.91,8.24,pH_195
2023-05-29T16:26:00Z,29.07,-87.71,8.23,pH_195
2023-05-29T16:28:00Z,29.07,-88.02,8.24,pH_195
2023-05-29T16:30:00Z,29.07,-88.88,8.25,pH_195
2023-05-29T16:32:00Z,29.07,-88.92,8.26,pH_195
2023-05-29T16:34:00Z,29.07,-88.92,8.26,pH_195
2023-05-29T16:36:00Z,29.09,-89.33,8.26,pH_195
2023-05-29T16:38:00Z,29.07,-89.58,8.27,pH_195
2023-05-29T16:40:00Z,29.02,-88.22,8.24,pH_195
2023-05-29T16:42:00Z,29.04,-88.78,8.25,pH_195
2023-05-29T16:44:00Z,29.07,-89.78,8.27,pH_195
2023-05-29T16:46:00Z,29.07,-89.77,8.27,pH_195
2023-05-29T16:48:00Z,29.04,-88.53,8.25,pH_195
2023-05-29T16:50:00Z,29.02,-88.64,8.25,pH_195
2023-05-29T16:52:00Z,29.07,-89.32,8.26,pH_195
2023-05-29T16:54:00Z,29.04,-89.52,8.27,pH_195
2023-05-29T16:56:00Z,29.02,-88.86,8.25,pH_195
2023-05-29T16:58:00Z,29.02,-88.85,8.25,pH_195
2023-05-29T17:00:00Z,28.99,-88.86,8.25,pH_195
2023-05-29T17:02:00Z,28.99,-88.28,8.24,pH_195
2023-05-29T17:04:00Z,28.99,-88.75,8.25,pH_195
2023-05-29T17:06:00Z,28.99,-89.02,8.26,pH_195
2023-05-29T17:08:00Z,28.99,-88.46,8.25,pH_195
2023-05-29T17:10:00Z,28.94,-88.28,8.24,pH_195
2023-05-29T17:12:00Z,28.97,-89.55,8.27,pH_195
2023-05-29T17:14:00Z,28.92,-88.33,8.25,pH_195
2023-05-29T17:16:00Z,28.94,-88.85,8.25,pH_195
2023-05-29T17:18:00Z,28.97,-88.41,8.25,pH_195
2023-05-29T17:20:00Z,28.94,-88.85,8.25,pH_195
2023-05-29T17:22:00Z,28.89,-87.22,8.23,pH_195
2023-05-29T17:24:00Z,28.92,-87.6,8.23,pH_195
2023-05-29T17:26:00Z,28.89,-88.24,8.24,pH_195
2023-05-29T17:28:00Z,28.87,-87.32,8.23,pH_195
2023-05-29T17:30:00Z,28.87,-87.96,8.24,pH_195
2023-05-29T17:32:00Z,28.87,-88.35,8.25,pH_195
2023-05-29T17:34:00Z,28.82,-85.47,8.2,pH_195
